Country Name,Country Code,2014,2015,2016,2017,2018,2019
Beijing,CHN_BEI,14.1,14.3,13.9,18.7,17.4,16.7
Chittagong,BGD_CHI,9.3,9,9.3,9.2,9.3,10.9
Delhi,IND_DEL,20.3,19.8,16,15.2,14.9,16.3
Dhaka,BGD_DHA,9.3,9,9.3,9.2,9.2,9.4
Jakarta,IDN_JAK,14.2,13.7,11,11.1,10.7,10.7
Kano,NGA_KAN,16.2,23.1,20.2,18.3,16.3,14.2
Karachi,PAK_KAR,21.2,19.7,19,18.8,18.7,22.2
Lagos,NGA_LAG,15.7,26.7,20.1,16.4,12.8,11.2
Lahore,PAK_LAH,20,18.6,19,18.8,18.7,20.9
Los Angeles,USA_LA,17.3,17.8,17.2,17.9,18.9,20.9
Mexico City,MEX_MEC,17.4,14.5,6.7,6.5,11.5,17
Monterrey,MEX_MON,12.1,9.5,7.1,9.9,11.8,13.9
Moscow,RUS_MOS,12.7,11.5,9.7,7.8,8,8.1
Mumbai,IND_MUM,25.8,24.6,25.8,20.3,19.4,20.3
New York,USA_NY,13.8,13.7,15.9,15.8,15.9,16.3
Osaka,JPN_OSA,22.7,20.2,18.8,18.6,16,16.7
Rio de Janeiro,BRA_RIO,14.3,16.9,20.4,17.2,21.1,18.8
Sao Paulo,BRA_SAO,11.1,15,16.9,14.2,13.3,16.8
Shanghai,CHN_SHA,14.5,14.6,14.7,12.7,14,12.8
St. Petersburg,RUS_STP,10.4,10.3,10,8,8.5,8.9
Surabaya,IDN_SUR,14.4,13.9,11.3,11.4,10.9,11.5
Tokyo,JPN_TOK,32.6,28.9,24.6,23.3,20,23.7
Afghanistan,AFG,23.3,22,20.9,18.6,17.6,18
Albania,ALB,9.5,10.2,9.6,9.1,8.7,9.4
Algeria,DZA,2.7,2.7,3,2.6,2.2,2.1
Angola,AGO,4.7,4.6,8.8,6,4.6,3.7
Antigua and Barbuda,ATG,50.7,44.5,44.2,43.2,43.7,44.9
Argentina,ARG,9.4,7,8.8,10.6,15.5,10.8
Armenia,ARM,8,8.3,9.1,8,7.6,7.7
Australia,AUS,22.2,21.4,19.3,17.2,23.1,20.4
Austria,AUT,11.6,11.3,9.5,8.9,9.8,10.2
Azerbaijan,AZE,7.6,7.6,5.9,6.1,5.4,4.8
"Bahamas, The",BHS,39.9,39.4,23.9,27.7,27.6,28.5
Bahrain,BHR,4.2,4.3,5.3,5.1,4.8,6
Bangladesh,BGD,9.3,9,9.3,9.2,9.2,9.7
Barbados,BRB,30.9,22,18.2,24.5,25.8,26.6
