Country Name,energy_consumption_kwh_2014,energy_consumption_kwh_2015,energy_consumption_kwh_2016,energy_consumption_kwh_2017,energy_consumption_kwh_2018,energy_consumption_kwh_2019,energy_consumption_kwh_2020,energy_consumption_kwh_2021,energy_consumption_kwh_2022,energy_consumption_kwh_2023
Belgium,82633500000.0,83056600000.0,83581200000.0,83745100000.0,84441400000.0,83518000000.0,80538000000.0,83068700000.0,78129300000.0,73268437946.642
Czechia,55099282000.0,56398075000.0,57642139000.0,59151088000.0,59865373000.0,60057440000.0,58590657000.0,61335821000.0,59925175000.0,56653083102.091995
Denmark,31681956000.0,32047669999.999996,32248092999.999996,32583576000.0,32213321999.999996,32612111000.0,32261209000.0,34814745000.0,33504845000.000004,33991879211.177002
France,433532574000.0,443028188000.0,451314964000.0,447504976000.0,445838657000.0,440556726000.0,420474886000.0,442444438000.0,425684591000.0,410767540975.3
Germany,524826000000.0,528350000000.0,530551000000.00006,531318000000.0,521808999999.99994,507543000000.0,492822000000.0,510102000000.0,489331000000.0,463486844773.62
Italy,291085000000.0,297180000000.0,295509000000.0,301880515000.0,303442970000.0,301803565000.0,283814521000.0,300887060000.0,295853384000.0,285827162169.13
Netherlands,107291285000.0,109470968000.0,110601074000.0,111554553000.0,113710368000.0,113371421000.0,111291328000.0,111941786000.0,108849601000.0,109248507918.93001
Poland,136308000000.0,138927000000.0,143763000000.0,146425464000.0,151398916000.0,152002316000.0,148241580000.0,157314714000.0,154823793000.0,149708237525.21
Portugal,46139000000.0,46849000000.0,47359322000.0,47660588000.0,48897005000.0,48810498000.0,47179281000.0,48116521000.0,49470232000.0,50257661487.660995
Romania,45808000000.0,46798000000.0,47142000000.0,48860709000.0,49777628000.0,49619083000.0,48062637000.0,49623168000.0,45407272000.0,43339500654.339
Spain,233306000000.0,238545000000.0,239821000000.0,246542000000.0,245769000000.0,242165000000.0,227172000000.0,235025000000.0,231847000000.0,226472910076.19
Sweden,126845000000.0,129275000000.0,132056999999.99998,132002999999.99998,131859000000.00002,128594000000.0,127260000000.0,131906000000.0,126931000000.0,125746281391.78
United Kingdom,309637000000.0,309336000000.0,309443000000.0,305098978000.0,306222587000.0,302501964000.0,287465465000.0,292982170000.0,277947574213.7,268672948357.43002
Norway,117059888000.0,120055806000.0,123558410000.0,124907125000.0,127658328000.0,126138538000.0,126554496000.0,132100867000.0,125346826000.0,127195637536.61
Turkiye,207375000000.0,217313000000.0,231204000000.0,249022646000.0,258232176999.99997,257273128999.99997,262702129000.0,286691465000.0,286576318000.0,283690943326.02997
CIS,1248202472000.0,1243901298000.0,1266215405000.0,1284120731000.0,1320025457400.0,1311966360000.0,1288800205000.0,1381281708530.8,1351781337078.4,1373876407716.9001
Azerbaijan,19914000000.0,20573200000.0,20660300000.0,19987100000.0,20804200000.0,21648900000.0,21997300000.0,23419200000.0,23171294262.724,23176989370.235
Kazakhstan,77015000000.0,78795000000.0,80020054000.0,88749670000.0,95318031000.0,80662328000.0,80050332000.0,103463800000.0,94883100000.0,96666668333.041
Russia,877126972000.0,876816598000.0,898487351000.0,904877863000.0,926176715000.0,931233979000.0,914740563000.0,964950579000.0,982998126231.0801,996592875694.45
Uzbekistan,51023500000.0,52029500000.0,52946700000.0,55339700000.0,58711006400.0,59442808000.0,56805076000.0,62570134000.0,63395527229.271996,66671550777.936005
America,5729855740410.8,5734937319998.5,5772309538634.601,5762725200533.5,5974942698136.699,5884376823994.3,5818534649719.699,5933544709474.699,6126702797364.7,6132839692349.9
North America,4418181000000.0,4417319000000.0,4438594000000.0,4422872078000.0,4588465012000.0,4516252686000.0,4443400412000.0,4504739170000.0,4661474285395.2,4622857350034.1
