Continental Region,Country Name,Year,Consumption Price,GDP,Poverty Index,Weather Anomaly
Africa,Algeria,2014,1255473000.0,213810000000.0,0.5871909639399467,0.55
Africa,Algeria,2015,1376595000.0,165979000000.0,0.8293790178275565,0.56
Africa,Algeria,2016,1593000000.0,160034000000.0,0.9954134746366398,0.67
Africa,Algeria,2017,1490684000.0,170097000000.0,0.8763728931139291,0.72
Africa,Algeria,2018,1297274000.0,174911000000.0,0.7416766241116911,0.65
Africa,Algeria,2019,1329216000.0,171760000000.0,0.7738798323241732,0.66
Africa,Algeria,2022,2665089261.051438,191913000000.0,1.3886965766005626,0.57
Africa,Nigeria,2014,3890750000.0,574184000000.0,0.677613796274365,0.55
Africa,Nigeria,2015,6481734000.0,493027000000.0,1.3146813460520417,0.56
Africa,Nigeria,2016,5144394000.0,404649000000.0,1.2713225536205452,0.67
Africa,Nigeria,2017,4396072968.0,375746000000.0,1.169958686985357,0.72
Africa,Nigeria,2018,3644588928.000001,421739000000.0,0.8641811471075714,0.65
Africa,Nigeria,2019,3261033279.0,474517000000.0,0.6872321284590436,0.66
Africa,Nigeria,2022,807853941.12,477386000000.0,0.1692244726741044,0.57
Africa,South Africa,2014,20548836000.0,381199000000.0,5.3905797234515305,0.55
Africa,South Africa,2015,19156605000.0,346710000000.0,5.52525309336333,0.56
Africa,South Africa,2016,33785752000.0,323586000000.0,10.44104256673651,0.67
Africa,South Africa,2017,32966471000.0,381449000000.0,8.642432146892508,0.72
Africa,South Africa,2018,32670852000.0,404159000000.0,8.08366311278482,0.65
Africa,South Africa,2019,32702084940.0,388531000000.0,8.416853466004,0.66
Africa,South Africa,2022,30595497286.41324,405870000000.0,7.538250495580663,0.57
Asia,Azerbaijan,2014,1513464000.0,75239737489.0,2.011522169679642,0.55
Asia,Azerbaijan,2015,1563563200.0,53076244755.0,2.9458813584446477,0.56
Asia,Azerbaijan,2016,1218957700.0,37867007023.0,3.2190494993692496,0.67
Asia,Azerbaijan,2017,1219213100.0,40866632048.0,2.983395104759233,0.72
Asia,Azerbaijan,2018,1123426800.0,47112479289.0,2.384563107172969,0.65
Asia,Azerbaijan,2019,1039147200.0,48174235294.0,2.1570600833791,0.66
Asia,Azerbaijan,2022,1089050830.348028,78721058824.0,1.383430109575717,0.57
Asia,China,2014,719916626000.0,10475600000000.0,6.872318778876628,0.55
Asia,China,2015,733507063000.0,11061600000000.0,6.631111801186085,0.56
Asia,China,2016,761145527999.9999,11233300000000.0,6.775796319870385,0.67
Asia,China,2017,887376397600.0,12310500000000.0,7.208288839608465,0.72
Asia,China,2018,970644255000.0,13894900000000.0,6.98561526171473,0.65
Asia,China,2019,961164282000.0,14280000000000.0,6.730842310924371,0.66
Asia,China,2022,612424760221.3337,17963200000000.0,3.409329964713045,0.57
Asia,India,2014,218907282999.9999,2039130000000.0,10.735327468086876,0.55
Asia,India,2015,227562280000.0,2103590000000.0,10.817805751120703,0.56
Asia,India,2016,220669878000.0,2294800000000.0,9.616083231654176,0.67
Asia,India,2017,199810062222.2144,2651470000000.0,7.5358220995226946,0.72
Asia,India,2018,197878300000.0,2702930000000.0,7.320881413873092,0.65
Asia,India,2019,236079116000.0,2835610000000.0,8.325514298510726,0.66
Asia,India,2022,97552477710.7688,3385090000000.0,2.881828185093123,0.57
Asia,Indonesia,2014,28166410000.0,890815000000.0,3.161869748488744,0.55
Asia,Indonesia,2015,29149078999.999977,860854000000.0,3.3860653490603494,0.56
Asia,Indonesia,2016,23951691000.0,931877000000.0,2.5702631355854906,0.67
Asia,Indonesia,2017,27399343999.999977,1015620000000.0,2.697794844528463,0.72
Asia,Indonesia,2018,26942172000.0,1042270000000.0,2.584951308202289,0.65
Asia,Indonesia,2019,28132028000.0,1119100000000.0,2.513808238763292,0.66
Asia,Indonesia,2022,26370498747.11904,1319100000000.0,1.9991280984852584,0.57
Asia,Japan,2014,287704134000.0,4896990000000.0,5.875121942254324,0.55
Asia,Japan,2015,249846940000.0,4444930000000.0,5.620942062079718,0.56
Asia,Japan,2016,218316678000.0,5003680000000.0,4.363122301985738,0.67
Asia,Japan,2017,212700403664.0,4930840000000.0,4.313674823437792,0.72
Asia,Japan,2018,178757971518.0,5040880000000.0,3.5461659773293555,0.65
