Continental Region, Year,Weather Anomaly
Africa,2035,0.9
Africa,2065,1.2
Africa,2100,1.1
Africa,2035,0.9
Africa,2065,1.3
Africa,2100,1.2
Africa,2035,0.9
Africa,2065,1.2
Africa,2100,1.2
Northern Hemisphere,2035,1.4
Northern Hemisphere,2065,2.1
Northern Hemisphere,2100,1.9
Northern Hemisphere,2035,1.8
Northern Hemisphere,2065,2.6
Northern Hemisphere,2100,2.5
Northern Hemisphere,2035,1.0
Northern Hemisphere,2065,1.2
Northern Hemisphere,2100,1.0
Asia,2035,1.0
Asia,2065,1.3
Asia,2100,1.2
Asia,2035,0.9
Asia,2065,1.3
Asia,2100,1.3
Asia,2035,1.1
Asia,2065,1.4
Asia,2100,1.3
Oceania,2035,0.8
Oceania,2065,1.1
Oceania,2100,1.1
Oceania,2035,0.8
Oceania,2065,1.1
Oceania,2100,1.1
Oceania,2035,0.7
Oceania,2065,1.1
Oceania,2100,1.0
South America,2035,0.7
South America,2065,1.0
South America,2100,1.0
South America,2035,0.7
South America,2065,1.0
South America,2100,0.9
South America,2035,0.8
South America,2065,1.0
South America,2100,1.0
Asia,2035,1.1
Asia,2065,1.4
Asia,2100,1.4
Asia,2035,1.0
Asia,2065,1.5
Asia,2100,1.6
Asia,2035,1.1
Asia,2065,1.4
Asia,2100,1.2
Europe,2035,1.0
Europe,2065,1.3
Europe,2100,1.3
Europe,2035,1.0
Europe,2065,1.3
Europe,2100,1.3
Europe,2035,1.1
Europe,2065,1.4
Europe,2100,1.3
North America,2035,1.0
North America,2065,1.4
North America,2100,1.4
North America,2035,1.1
North America,2065,1.5
North America,2100,1.5
North America,2035,1.2
North America,2065,1.4
North America,2100,1.2
Africa,2035,0.7
Africa,2065,1.0
Africa,2100,0.9
Africa,2035,0.7
Africa,2065,1.0
Africa,2100,0.9
Africa,2035,0.8
Africa,2065,1.0
Africa,2100,1.0
Asia,2035,1.0
Asia,2065,1.4
Asia,2100,1.3
Asia,2035,1.1
Asia,2065,1.5
Asia,2100,1.4
Asia,2035,0.9
Asia,2065,1.3
Asia,2100,1.2
North America,2035,1.0
North America,2065,1.4
North America,2100,1.2
North America,2035,1.0
North America,2065,1.4
North America,2100,1.6
North America,2035,1.0
North America,2065,1.3
North America,2100,1.2
East Pacific,2035,0.6
East Pacific,2065,0.8
East Pacific,2100,0.8
East Pacific,2035,0.6
East Pacific,2065,0.8
East Pacific,2100,0.9
East Pacific,2035,0.6
East Pacific,2065,0.8
East Pacific,2100,0.8
Europe,2035,1.2
Europe,2065,1.6
Europe,2100,1.5
Europe,2035,1.4
Europe,2065,2.1
Europe,2100,1.8
Europe,2035,1.0
Europe,2065,1.3
Europe,2100,1.2
North America,2035,1.4
North America,2065,1.9
North America,2100,1.9
North America,2035,2.0
North America,2065,2.7
North America,2100,2.3
North America,2035,0.9
North America,2065,1.5
North America,2100,1.2
Asia,2035,1.3
Asia,2065,1.7
Asia,2100,1.6
Asia,2035,1.6
Asia,2065,2.1
Asia,2100,2.0
Asia,2035,1.1
Asia,2065,1.4
Asia,2100,1.3
Atlantic MDR,2035,0.5
Atlantic MDR,2065,0.8
Atlantic MDR,2100,0.7
Atlantic MDR,2035,0.5
Atlantic MDR,2065,0.8
Atlantic MDR,2100,0.8
Atlantic MDR,2035,0.5
Atlantic MDR,2065,0.7
Atlantic MDR,2100,0.7
South America,2035,0.8
South America,2065,1.1
South America,2100,1.0
South America,2035,0.8
South America,2065,1.0
South America,2100,1.0
South America,2035,0.8
South America,2065,1.1
South America,2100,1.1
South America,2035,0.8
South America,2065,1.1
South America,2100,1.1
South America,2035,0.8
South America,2065,1.0
South America,2100,1.0
South America,2035,0.9
South America,2065,1.1
South America,2100,1.1
Asia,2035,0.8
Asia,2065,1.0
Asia,2100,1.0
Asia,2035,0.8
Asia,2065,1.2
Asia,2100,1.1
Asia,2035,0.7
Asia,2065,0.9
Asia,2100,0.9
Oceania,2035,0.7
Oceania,2065,0.9
Oceania,2100,0.9
Oceania,2035,0.7
Oceania,2065,1.0
Oceania,2100,1.0
Oceania,2035,0.6
Oceania,2065,0.8
Oceania,2100,0.7
Asia,2035,0.6
Asia,2065,0.8
Asia,2100,0.8
Asia,2035,0.6
Asia,2065,0.9
Asia,2100,0.8
Asia,2035,0.6
Asia,2065,0.8
Asia,2100,0.8
South America,2035,0.6
South America,2065,0.9
South America,2100,0.8
South America,2035,0.7
South America,2065,0.9
South America,2100,0.8
South America,2035,0.7
South America,2065,0.7
South America,2100,0.8
Africa,2035,0.8
Africa,2065,1.1
Africa,2100,1.1
Africa,2035,0.8
Africa,2065,1.1
Africa,2100,1.1
Africa,2035,0.8
Africa,2065,1.1
Africa,2100,1.0
Europe,2035,0.9
Europe,2065,1.3
Europe,2100,1.2
Europe,2035,0.7
Europe,2065,1.1
Europe,2100,1.1
Europe,2035,1.1
Europe,2065,1.6
Europe,2100,1.4
East Pacific,2035,0.5
East Pacific,2065,0.6
East Pacific,2100,0.6
East Pacific,2035,0.5
East Pacific,2065,0.7
East Pacific,2100,0.6
East Pacific,2035,0.4
East Pacific,2065,0.6
East Pacific,2100,0.6
East Pacific,2035,0.6
East Pacific,2065,0.8
East Pacific,2100,0.7
East Pacific,2035,0.6
East Pacific,2065,0.8
East Pacific,2100,0.8
East Pacific,2035,0.5
East Pacific,2065,0.7
East Pacific,2100,0.7
Asia,2035,1.1
Asia,2065,1.5
Asia,2100,1.4
Asia,2035,1.0
Asia,2065,1.6
Asia,2100,1.5
Asia,2035,1.1
Asia,2065,1.4
Asia,2100,1.3
Africa,2035,0.7
Africa,2065,1.0
Africa,2100,1.0
Africa,2035,0.7
Africa,2065,1.1
Africa,2100,1.0
Africa,2035,0.7
Africa,2065,1.0
Africa,2100,1.0
South America,2035,0.7
South America,2065,1.0
South America,2100,0.9
South America,2035,0.7
South America,2065,1.0
South America,2100,0.9
South America,2035,0.8
South America,2065,1.0
South America,2100,0.9
North America,2035,1.0
North America,2065,1.5
North America,2100,1.4
North America,2035,1.0
North America,2065,1.6
North America,2100,1.7
North America,2035,1.1
North America,2065,1.4
North America,2100,1.3
Africa,2035,0.9
Africa,2065,1.7
Africa,2100,3.0
Africa,2035,0.8
Africa,2065,1.6
Africa,2100,2.9
Africa,2035,1.0
Africa,2065,1.9
Africa,2100,3.1
Northern Hemisphere,2035,1.3
Northern Hemisphere,2065,2.6
Northern Hemisphere,2100,4.5
