Continental Region,Year,Poverty Index,Weather Anomaly
Africa,2014,0.5871909639399467,0.55
Africa,2015,0.8293790178275565,0.56
Africa,2016,0.9954134746366398,0.67
Africa,2017,0.8763728931139291,0.72
Africa,2018,0.7416766241116911,0.65
Africa,2019,0.7738798323241732,0.66
Africa,2022,1.3886965766005626,0.57
Africa,2014,0.677613796274365,0.55
Africa,2015,1.3146813460520417,0.56
Africa,2016,1.2713225536205452,0.67
Africa,2017,1.169958686985357,0.72
Africa,2018,0.8641811471075714,0.65
Africa,2019,0.6872321284590436,0.66
Africa,2022,0.1692244726741044,0.57
Africa,2014,5.3905797234515305,0.55
Africa,2015,5.52525309336333,0.56
Africa,2016,10.44104256673651,0.67
Africa,2017,8.642432146892508,0.72
Africa,2018,8.08366311278482,0.65
Africa,2019,8.416853466004,0.66
Africa,2022,7.538250495580663,0.57
Asia,2014,2.011522169679642,0.55
Asia,2015,2.9458813584446477,0.56
Asia,2016,3.2190494993692496,0.67
Asia,2017,2.983395104759233,0.72
Asia,2018,2.384563107172969,0.65
Asia,2019,2.1570600833791,0.66
Asia,2022,1.383430109575717,0.57
Asia,2014,6.872318778876628,0.55
Asia,2015,6.631111801186085,0.56
Asia,2016,6.775796319870385,0.67
Asia,2017,7.208288839608465,0.72
Asia,2018,6.98561526171473,0.65
Asia,2019,6.730842310924371,0.66
Asia,2022,3.409329964713045,0.57
Asia,2014,10.735327468086876,0.55
Asia,2015,10.817805751120703,0.56
Asia,2016,9.616083231654176,0.67
Asia,2017,7.5358220995226946,0.72
Asia,2018,7.320881413873092,0.65
Asia,2019,8.325514298510726,0.66
Asia,2022,2.881828185093123,0.57
Asia,2014,3.161869748488744,0.55
Asia,2015,3.3860653490603494,0.56
Asia,2016,2.5702631355854906,0.67
Asia,2017,2.697794844528463,0.72
Asia,2018,2.584951308202289,0.65
Asia,2019,2.513808238763292,0.66
Asia,2022,1.9991280984852584,0.57
Asia,2014,5.875121942254324,0.55
Asia,2015,5.620942062079718,0.56
Asia,2016,4.363122301985738,0.67
Asia,2017,4.313674823437792,0.72
Asia,2018,3.5461659773293555,0.65
Asia,2019,3.9025662434666737,0.66
Asia,2022,5.4077323167522415,0.57
Asia,2014,3.408728366513712,0.55
Asia,2015,3.888726489793262,0.56
Asia,2016,5.712470528416789,0.67
Asia,2017,3.1923193410308985,0.72
