Country Name,Continental region,consumption_price_2014,consumption_price_2015,consumption_price_2016,consumption_price_2017,consumption_price_2018,consumption_price_2019,consumption_price_2022,consumption_price_2023
Belgium,WESTERN EUROPE,16113532500.0,15946867200.0,14125222799.999992,13985431699.999992,13341741200.0,13947505999.999992,40939753200.0,32538513292.10371
Denmark,WESTERN EUROPE,4657247532.0,4646912149.999999,7255820924.999999,6972885264.0,6539304366.0,7892130862.0,19399305255.0,17985103290.63375
France,WESTERN EUROPE,61561625507.99999,63353030883.99999,65440669779.99999,60860676736.00001,57959025410.0,59915714736.00001,92799240838.0,87945330522.81174
Germany,WESTERN EUROPE,153249192000.0,150579750000.0,141126566000.00003,179585483999.99994,168022498000.0,129931008000.0,272557367000.00003,241059507966.75977
Italy,WESTERN EUROPE,74226675000.0,70728840000.0,63829944000.0,60979864029.99997,58564493210.0,50702998920.0,171299109336.0,131794904476.18585
Netherlands,Western Europe,12874954200.0,12808103255.999989,12829724583.999989,12047891724.0,12053299008.0,16325484623.999998,53445154091.0,37264666051.147026
Poland,EASTERN EUROPE,19492044000.0,21116904000.0,21708213000.0,20645990423.999996,19984656912.0,20824317291.999985,30035815842.0,26663037103.239902
Portugal,WESTERN EUROPE,12780502999.999996,13867304000.0,8666755926.0,8292942311.999999,12322045260.0,10835930556.0,14593718440.0,13373563721.86659
Romania,EASTERN EUROPE,4168528000.0,4071425999.9999995,4007070000.0000005,3908856720.0,2936880052.0,4564955636.0,7991679872.0,7458728062.611741
Spain,WESTERN EUROPE,53893686000.0,59874795000.0,38131539000.0,47089522000.0,60950712000.0,62962900000.0,86015237000.0,82911732378.89316
Sweden,WESTERN EUROPE,17377764999.99999,17193575000.0,15846839999.999998,14520329999.999998,13449618000.0,13373776000.0,44171988000.0,36101757387.58004
United Kingdom,WESTERN EUROPE,46445550000.0,48256416000.0,47963665000.0,49120935458.0,52670284963.99999,53542847628.0,117015928743.9677,126571825971.18529
Norway,WESTERN EUROPE,11354809135.999989,15487198974.0,13962100330.0,12615619624.999987,12765832800.0,12739992337.999987,16169740554.0,16929739356.122791
Azerbaijan,CIS (FORMER USSR),1513464000.0,1563563200.0,1218957700.0,1219213100.0,1123426800.0,1039147200.0,1089050830.348028,1091636199.3380685
Kazakhstan,CIS (FORMER USSR),7547470000.0,7170345000.0,7841965292.0,5324980200.0,4765901550.0,3549142432.0,4269739500.0,4359666741.820149
Uzbekistan,CIS (FORMER USSR),3265504000.0,3225829000.0,3441535500.0,3763099600.0000005,3346527364.8,3091026016.0,1648283707.9610717,1740127475.3041298
Canada,NORTHERN AMERICA,67462485000.00001,65766203999.99999,80070365000.0,76100072000.0,72568125000.0,67868940000.0,67268192810.33819,62502673634.755
United States,NORTHERN AMERICA,592072832000.0,595990845000.0,643209803999.9996,645234708948.0,691325642052.0,717569556166.0,738996985372.2839,711833257285.8363
Argentina,SOUTH AMERICA,11866842000.0,9038540000.000002,11332728000.0,13674106000.0,19955320000.0,13566852000.0,3981216000.0,4191436065.8619213
Brazil,SOUTH AMERICA,64756178999.99999,81035236000.0,93521428000.00002,80125429999.99998,86484703000.0,94152450000.0,100742688937.65999,117136883139.49532
Chile,SOUTH AMERICA,6647928000.0,6832346999.999993,7437150000.0,6964678512.0,7150456946.999993,7634007521.999999,15793092880.904243,14131150524.212479
Colombia,SOUTH AMERICA,9647578675.117725,9781189862.66093,10291093453.58865,10115151372.748798,9389891884.709291,15011121352.943985,14250087925.085127,12459557641.149008
Mexico,CENTRAL AMERICA,42368535000.0,35873449999.99998,18646280000.0,19585989000.0,34946315000.0,46887555000.0,32391952638.44904,31492495604.10755
China,ASIA (EX. NEAR EAST),719916626000.0,733507063000.0,761145527999.9999,887376397600.0,970644255000.0,961164282000.0,612424760221.3337,663790237426.5397
India,ASIA (EX. NEAR EAST),218907282999.9999,227562280000.0,220669878000.0,199810062222.2144,197878300000.0,236079116000.0,97552477710.7688,102827346082.67754
Indonesia,ASIA (EX. NEAR EAST),28166409999.999996,29149078999.999977,23951691000.0,27399343999.999977,26942172000.0,28132027999.999996,26370498747.11904,27523617464.113617
Japan,ASIA (EX. NEAR EAST),287704134000.0,249846940000.0,218316678000.0,212700403664.0,178757971518.0,199732950084.0,228808725147.03073,223621039038.0244
Malaysia,ASIA (EX. NEAR EAST),21559944000.0,20358646000.000004,20595432000.0,18901080000.0,17732455999.999985,19045111680.0,7903957405.28256,8416572114.940483
Singapore,ASIA (EX. NEAR EAST),7795687200.000001,5369059400.0,3938463000.0,4963770000.0,5147011800.0,2845161000.0,13062582400.0,11987793510.369303
Thailand,ASIA (EX. NEAR EAST),28862748000.000004,29066850999.99998,27744000000.0,23356493874.0,23694048000.0,26465111862.99998,24965994954.371788,23960969344.06406
Vietnam,ASIA (EX. NEAR EAST),15435240000.000002,16667227999.999985,18535755999.999985,20958360000.0,23702223000.0,25881111111.111248,19255854117.548,19755871041.358986
Australia,OCEANIA,49556616000.0,48632998000.0,44673710000.0,39876071672.0,54412836555.0,48745693104.0,57972189598.66754,52746687889.0261
New Zealand,OCEANIA,5552568000.0,5826820999.999999,5310624000.0,4871865406.0,4596267100.0,4838263560.0,7464125146.091051,7370929555.4476595
Algeria,NORTHERN AFRICA,1255473000.0,1376595000.0,1593000000.0,1490684000.0,1297274000.0,1329216000.0,2665089261.051438,2824750936.808995
Nigeria,SUB-SAHARAN AFRICA,3890750000.0,6481734000.0,5144394000.0,4396072968.0,3644588928.0000005,3261033279.0,807853941.12,1356795115.4662097
South Africa,SUB-SAHARAN AFRICA,20548836000.0,19156605000.0,33785752000.0,32966471000.0,32670852000.0,32702084940.0,30595497286.413242,29394236456.955746
Kuwait,NEAR EAST,362256364.6799948,380318389.3599946,445500000.04,415988999.9999941,471268800.0,420524999.99999404,1954106999.9999998,2024033201.8284173
Saudi Arabia,NEAR EAST,17311702000.0,18984105000.0,27561150000.0,28099586450.000004,23756002480.0,22319360594.0,15401060505.2784,16264082850.69646
United Arab Emirates,NEAR EAST,10313238200.0,12746810699.999989,13498714400.0,14081691900.0,12802845000.0,13073536300.0,10633855263.65216,11630391302.532707
