Country Name,Indicator Name,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,GDP (current US$),20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,
Albania,GDP (current US$),13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119,18882095518
Algeria,GDP (current US$),2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.7176E+11,1.45744E+11,1.63472E+11,1.91913E+11
Andorra,GDP (current US$),3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407,3352032737
Angola,GDP (current US$),1.37244E+11,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100,1.06714E+11
Antigua and Barbuda,GDP (current US$),1249733333,1336692593,1436585185,1467955556,1604770370,1675403704,1416348148,1560518519,1757603704
Argentina,GDP (current US$),5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.8554E+11,4.87227E+11,6.3277E+11
Armenia,GDP (current US$),11609513241,10553337528,10546136240,11527458713,12457940705,13619290546,12641698594,13861409969,19502783988
Aruba,GDP (current US$),2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385,
Australia,GDP (current US$),1.46759E+12,1.35058E+12,1.20656E+12,1.32647E+12,1.42827E+12,1.39222E+12,1.32694E+12,1.5527E+12,1.67542E+12
Austria,GDP (current US$),4.42585E+11,3.81971E+11,3.95837E+11,4.17261E+11,4.54991E+11,4.44621E+11,4.35225E+11,4.80368E+11,4.714E+11
Azerbaijan,GDP (current US$),75239737489,53076244755,37867007023,40866632048,47112479289,48174235294,42693000000,54825411765,78721058824
"Bahamas, The",GDP (current US$),11176100000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000,11527600000,12897400000
Bahrain,GDP (current US$),33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34621807713,39303403989,44390820479
Bangladesh,GDP (current US$),1.72885E+11,1.95079E+11,2.65236E+11,2.93755E+11,3.21379E+11,3.51238E+11,3.73902E+11,4.16265E+11,4.60201E+11
